timestamp_ms,type,key,latency_ms,version,stale
1775591500944,READ,key5,99,0,false
1775591500945,READ,key11,98,1,false
1775591500944,READ,key82,99,1,false
1775591500945,READ,key17,98,0,false
1775591500944,READ,key12,99,2,false
1775591500945,READ,key57,98,1,false
1775591501045,READ,key88,55,0,false
1775591501045,READ,key28,55,3,false
1775591501045,READ,key92,55,1,false
1775591501045,READ,key97,55,0,false
1775591501045,READ,key24,55,0,false
1775591501045,READ,key14,56,1,false
1775591501101,READ,key36,54,0,false
1775591501101,READ,key12,54,2,false
1775591501101,READ,key31,54,1,false
1775591501101,READ,key89,54,2,false
1775591501102,READ,key25,54,1,false
1775591501102,READ,key32,54,2,false
1775591500945,WRITE,key65,255,3,false
1775591500945,WRITE,key91,255,2,false
1775591501156,READ,key56,55,0,false
1775591501157,READ,key75,54,1,false
1775591501156,READ,key14,55,1,false
1775591501156,READ,key78,55,0,false
1775591501158,READ,key43,54,1,false
1775591501157,READ,key53,55,1,false
1775591501201,READ,key79,54,0,false
1775591501212,READ,key78,54,0,false
1775591501211,READ,key12,55,2,false
1775591501212,READ,key39,55,0,false
1775591501213,READ,key58,54,0,false
1775591501213,READ,key4,55,1,false
1775591501256,READ,key36,55,0,false
1775591501267,READ,key66,55,0,false
1775591501267,READ,key33,55,1,false
1775591501268,READ,key81,55,0,false
1775591501268,READ,key28,56,3,false
1775591501312,READ,key99,55,1,false
1775591501323,READ,key78,54,0,false
1775591501323,READ,key41,55,2,false
1775591501325,READ,key96,56,1,false
1775591501201,WRITE,key32,214,3,false
1775591501368,READ,key5,55,0,false
1775591501213,WRITE,key66,214,1,false
1775591501378,READ,key85,54,0,false
1775591501379,READ,key86,54,1,false
1775591501381,READ,key93,55,0,false
1775591501416,READ,key60,54,3,false
1775591501424,READ,key34,55,0,false
1775591501428,READ,key61,54,2,false
1775591501268,WRITE,key77,215,2,false
1775591501433,READ,key78,55,0,false
1775591501434,READ,key81,55,0,false
1775591501437,READ,key73,55,2,false
1775591501479,READ,key72,55,1,false
1775591501483,READ,key48,55,0,false
1775591501483,READ,key77,55,2,false
1775591501324,WRITE,key38,215,2,false
1775591501489,READ,key97,55,0,false
1775591501490,READ,key52,54,0,false
1775591501492,READ,key77,56,2,false
1775591501534,READ,key74,56,0,false
1775591501538,READ,key94,54,1,false
1775591501538,READ,key28,54,3,false
1775591501540,READ,key28,54,3,false
1775591501544,READ,key68,54,0,false
1775591501545,READ,key19,54,1,false
1775591501549,READ,key0,54,0,false
1775591501590,READ,key22,55,0,false
1775591501593,READ,key51,54,0,false
1775591501593,READ,key26,55,0,false
1775591501594,READ,key61,55,2,false
1775591501599,READ,key83,55,0,false
1775591501598,READ,key1,56,1,false
1775591501603,READ,key12,55,2,false
1775591501471,WRITE,key83,216,1,false
1775591501646,READ,key69,54,1,false
1775591501648,READ,key5,55,0,false
1775591501648,READ,key21,55,1,false
1775591501650,READ,key75,54,1,false
1775591501654,READ,key68,55,0,false
1775591501654,READ,key63,55,2,false
1775591501658,READ,key11,55,1,false
1775591501687,READ,key56,55,0,false
1775591501701,READ,key4,54,1,false
1775591501703,READ,key55,55,0,false
1775591501703,READ,key13,55,1,false
1775591501705,READ,key53,54,1,false
1775591501709,READ,key28,55,3,false
1775591501709,READ,key9,55,2,false
1775591501713,READ,key65,55,3,false
1775591501742,READ,key63,55,2,false
1775591501759,READ,key49,54,0,false
1775591501759,READ,key99,55,1,false
1775591501764,READ,key46,55,0,false
1775591501764,READ,key64,55,0,false
1775591501768,READ,key26,54,0,false
1775591501797,READ,key39,55,0,false
1775591501814,READ,key32,55,3,false
1775591501815,READ,key87,54,1,false
1775591501819,READ,key92,56,1,false
1775591501819,READ,key72,56,1,false
1775591501822,READ,key70,56,1,false
1775591501852,READ,key36,55,0,false
1775591501870,READ,key10,54,0,false
1775591501869,READ,key81,55,0,false
1775591501876,READ,key3,56,1,false
1775591501879,READ,key82,53,1,false
1775591501878,READ,key59,54,0,false
1775591501908,READ,key24,55,0,false
1775591501756,WRITE,key70,215,2,false
1775591501759,WRITE,key73,214,3,false
1775591501924,READ,key52,56,0,false
1775591501925,READ,key76,55,0,false
1775591501934,READ,key60,55,3,false
1775591501934,READ,key87,56,1,false
1775591501935,READ,key9,55,2,false
1775591501963,READ,key75,55,1,false
1775591501972,READ,key34,55,0,false
1775591501974,READ,key94,55,1,false
1775591501980,READ,key32,55,3,false
1775591501990,READ,key48,55,0,false
1775591501990,READ,key96,56,1,false
1775591501991,READ,key15,55,0,false
1775591502018,READ,key53,55,1,false
1775591502027,READ,key4,56,1,false
1775591502029,READ,key66,56,1,false
1775591502036,READ,key40,54,1,false
1775591502046,READ,key81,55,0,false
1775591502047,READ,key52,54,0,false
1775591502046,READ,key81,55,0,false
1775591502074,READ,key29,55,0,false
1775591502085,READ,key4,54,1,false
1775591502101,READ,key71,55,0,false
1775591502101,READ,key10,55,0,false
1775591502101,READ,key22,55,0,false
1775591502129,READ,key29,54,0,false
1775591501980,WRITE,key21,214,2,false
1775591502140,READ,key74,55,0,false
1775591502157,READ,key97,54,0,false
1775591502157,READ,key14,54,1,false
1775591502157,READ,key64,54,0,false
1775591502184,READ,key70,54,2,false
1775591502196,READ,key85,55,0,false
1775591502195,READ,key99,56,1,false
1775591502212,READ,key16,55,1,false
1775591502211,READ,key21,56,2,false
1775591502212,READ,key37,55,1,false
1775591502083,WRITE,key0,214,1,false
1775591502091,WRITE,key7,214,1,false
1775591502251,READ,key26,55,0,false
1775591502267,READ,key25,55,1,false
1775591502267,READ,key17,55,0,false
1775591502297,READ,key14,55,1,false
1775591502305,READ,key62,55,1,false
1775591502306,READ,key20,55,2,false
1775591502323,READ,key65,56,3,false
1775591502323,READ,key43,56,1,false
1775591502353,READ,key26,56,0,false
1775591502361,READ,key1,55,1,false
1775591502361,READ,key41,55,2,false
1775591502379,READ,key51,55,0,false
1775591502380,READ,key85,54,0,false
1775591502239,WRITE,key20,214,3,false
1775591502409,READ,key67,55,1,false
