timestamp_ms,type,key,latency_ms,version,stale
1775546681969,READ,key29,1610,0,false
1775546681968,READ,key41,1611,0,false
1775546681969,READ,key34,1610,0,false
1775546681968,READ,key6,1611,0,false
1775546681968,READ,key59,1611,0,false
1775546681968,READ,key74,1611,0,false
1775546681968,READ,key61,1611,0,false
1775546681968,READ,key97,1611,0,false
1775546683581,READ,key19,187,0,false
1775546683583,READ,key91,186,0,false
1775546683581,READ,key8,188,0,false
1775546683581,READ,key37,187,0,false
1775546683581,READ,key59,187,0,false
1775546683581,READ,key5,187,0,false
1775546683581,READ,key91,187,0,false
1775546683582,READ,key81,188,0,false
1775546683769,READ,key49,179,0,false
1775546683772,READ,key75,180,0,false
1775546683772,READ,key17,184,0,false
1775546683770,READ,key54,187,0,false
1775546683773,READ,key98,188,0,false
1775546683771,READ,key68,201,0,false
1775546683774,READ,key75,219,0,false
1775546683773,READ,key31,228,0,false
1775546683953,READ,key49,176,0,false
1775546683958,READ,key96,173,0,false
1775546683957,READ,key94,174,0,false
1775546683961,READ,key59,178,0,false
1775546683972,READ,key37,174,0,false
1775546683993,READ,key84,176,0,false
1775546684002,READ,key9,176,0,false
1775546684132,READ,key17,177,0,false
1775546684132,READ,key10,177,0,false
1775546684130,READ,key97,179,0,false
1775546684147,READ,key7,180,0,false
1775546684140,READ,key58,192,0,false
1775546684169,READ,key87,182,0,false
1775546684178,READ,key17,197,0,false
1775546684313,READ,key71,181,0,false
1775546684318,READ,key39,181,0,false
1775546684315,READ,key77,190,0,false
1775546684340,READ,key19,176,0,false
1775546684349,READ,key16,183,0,false
1775546684351,READ,key0,182,0,false
1775546684376,READ,key32,175,0,false
1775546684495,READ,key20,172,0,false
1775546684505,READ,key52,174,0,false
1775546684499,READ,key10,184,0,false
1775546684517,READ,key10,171,0,false
1775546684533,READ,key8,171,0,false
1775546684533,READ,key76,171,0,false
1775546684552,READ,key93,172,0,false
1775546684668,READ,key11,174,0,false
1775546684679,READ,key34,175,0,false
1775546684684,READ,key64,170,0,false
1775546684688,READ,key47,173,0,false
1775546684704,READ,key44,171,0,false
1775546684725,READ,key84,173,0,false
1775546683949,WRITE,key33,1050,1,false
1775546684843,READ,key89,170,0,false
1775546684854,READ,key13,170,0,false
1775546684854,READ,key73,170,0,false
1775546684862,READ,key9,171,0,false
1775546684875,READ,key67,172,0,false
1775546684899,READ,key15,172,0,false
1775546684999,READ,key52,171,0,false
1775546685013,READ,key68,171,0,false
1775546685024,READ,key88,170,0,false
1775546685024,READ,key24,170,0,false
1775546685033,READ,key23,172,0,false
1775546685048,READ,key32,171,0,false
1775546685072,READ,key94,171,0,false
1775546685171,READ,key42,171,0,false
1775546684704,WRITE,key98,643,1,false
1775546685185,READ,key29,172,0,false
1775546685195,READ,key60,171,0,false
1775546685195,READ,key36,171,0,false
1775546685205,READ,key92,172,0,false
1775546685220,READ,key78,172,0,false
1775546685243,READ,key78,174,0,false
1775546685342,READ,key31,171,0,false
1775546685348,READ,key77,175,0,false
1775546685357,READ,key31,172,0,false
1775546685366,READ,key69,173,0,false
1775546685368,READ,key29,179,0,false
1775546685378,READ,key46,176,0,false
1775546685392,READ,key86,174,0,false
1775546685418,READ,key76,174,0,false
1775546685513,READ,key59,171,0,false
1775546685523,READ,key77,170,0,false
1775546685529,READ,key73,171,0,false
1775546685540,READ,key31,169,0,false
1775546685548,READ,key23,169,0,false
1775546685554,READ,key72,172,0,false
1775546685566,READ,key79,171,0,false
1775546685592,READ,key68,170,0,false
1775546685684,READ,key77,172,0,false
1775546685693,READ,key30,170,0,false
1775546685701,READ,key52,170,0,false
1775546685710,READ,key71,169,0,false
1775546685718,READ,key39,170,0,false
1775546685726,READ,key93,171,0,false
1775546685737,READ,key93,173,0,false
1775546685763,READ,key3,172,0,false
1775546685856,READ,key3,170,0,false
1775546685863,READ,key60,171,0,false
1775546685871,READ,key60,170,0,false
1775546685879,READ,key9,173,0,false
1775546685888,READ,key74,172,0,false
1775546685897,READ,key92,173,0,false
1775546685911,READ,key15,174,0,false
1775546685935,READ,key31,173,0,false
1775546686027,READ,key16,174,0,false
1775546686034,READ,key19,175,0,false
1775546686041,READ,key52,177,0,false
1775546686052,READ,key22,178,0,false
1775546686061,READ,key22,180,0,false
1775546686070,READ,key1,186,0,false
1775546686085,READ,key49,183,0,false
1775546686108,READ,key8,186,0,false
1775546686201,READ,key17,184,0,false
1775546686210,READ,key43,185,0,false
1775546686219,READ,key25,186,0,false
1775546686230,READ,key74,182,0,false
1775546686242,READ,key91,185,0,false
1775546686257,READ,key73,192,0,false
1775546686269,READ,key10,191,0,false
1775546686295,READ,key65,186,0,false
1775546686386,READ,key68,181,0,false
1775546686398,READ,key67,184,0,false
1775546686406,READ,key56,184,0,false
1775546686413,READ,key17,180,0,false
1775546686427,READ,key56,178,0,false
1775546686449,READ,key32,174,0,false
1775546686460,READ,key63,224,0,false
1775546686482,READ,key75,206,0,false
1775546686567,READ,key36,184,0,false
1775546686590,READ,key53,203,0,false
1775546686594,READ,key12,200,0,false
1775546686584,READ,key92,210,0,false
1775546686605,READ,key29,189,0,false
1775546686623,READ,key68,188,0,false
1775546686694,READ,key79,196,0,false
1775546686702,READ,key80,188,0,false
1775546686754,READ,key39,183,0,false
1775546686794,READ,key49,174,0,false
1775546686794,READ,key85,174,0,false
1775546686795,READ,key23,173,0,false
1775546686812,READ,key38,189,0,false
1775546686796,READ,key83,215,0,false
1775546686895,READ,key54,184,0,false
1775546686899,READ,key76,180,0,false
1775546686941,READ,key52,175,0,false
1775546686968,READ,key1,177,0,false
1775546686968,READ,key59,178,0,false
1775546686969,READ,key71,180,0,false
1775546687001,READ,key75,176,0,false
1775546687011,READ,key75,177,0,false
1775546687079,READ,key42,175,0,false
1775546687079,READ,key21,175,0,false
1775546687117,READ,key8,180,0,false
1775546687146,READ,key69,180,0,false
1775546687150,READ,key52,179,0,false
1775546687146,READ,key37,183,0,false
1775546687188,READ,key7,176,0,false
1775546687255,READ,key21,175,0,false
1775546687297,READ,key89,176,0,false
1775546687255,READ,key33,236,1,false
1775546687329,READ,key55,175,0,false
1775546687330,READ,key75,174,0,false
1775546687326,READ,key95,178,0,false
1775546687364,READ,key57,181,0,false
1775546687430,READ,key16,181,0,false
1775546687474,READ,key50,173,0,false
1775546687491,READ,key81,181,0,false
1775546687505,READ,key38,178,0,false
1775546687505,READ,key86,178,0,false
1775546687505,READ,key70,186,0,false
1775546687546,READ,key16,178,0,false
1775546687612,READ,key92,173,0,false
1775546687648,READ,key35,173,0,false
1775546687178,WRITE,key60,655,1,false
1775546687672,READ,key44,173,0,false
1775546687684,READ,key5,172,0,false
1775546687684,READ,key87,172,0,false
1775546687691,READ,key93,175,0,false
1775546687725,READ,key96,172,0,false
1775546687786,READ,key20,172,0,false
1775546687822,READ,key42,170,0,false
1775546687833,READ,key72,183,0,false
1775546687845,READ,key39,176,0,false
1775546687856,READ,key52,173,0,false
1775546687856,READ,key72,174,0,false
1775546687866,READ,key64,178,0,false
1775546687897,READ,key81,186,0,false
1775546687959,READ,key62,190,0,false
1775546687993,READ,key62,174,0,false
1775546688016,READ,key96,175,0,false
1775546688029,READ,key25,174,0,false
1775546688021,READ,key88,182,0,false
1775546688031,READ,key54,174,0,false
1775546688044,READ,key32,190,0,false
1775546688104,READ,key95,181,0,false
1775546688150,READ,key8,171,0,false
1775546688168,READ,key10,170,0,false
1775546688192,READ,key68,173,0,false
1775546688205,READ,key87,169,0,false
1775546688204,READ,key20,170,0,false
1775546688204,READ,key32,172,0,false
1775546688285,READ,key36,169,0,false
1775546688339,READ,key30,171,0,false
1775546688321,READ,key2,189,0,false
1775546688365,READ,key14,182,0,false
1775546688375,READ,key6,188,0,false
1775546688375,READ,key65,188,0,false
1775546688377,READ,key80,188,0,false
1775546688455,READ,key74,169,0,false
1775546688510,READ,key16,169,0,false
1775546688510,READ,key16,169,0,false
1775546688547,READ,key77,167,0,false
1775546688564,READ,key21,168,0,false
1775546688564,READ,key98,168,1,false
1775546688565,READ,key5,172,0,false
1775546688624,READ,key29,170,0,false
1775546688680,READ,key16,168,0,false
1775546688679,READ,key13,169,0,false
1775546688234,WRITE,key35,645,1,false
1775546688715,READ,key74,168,0,false
1775546688733,READ,key30,170,0,false
1775546688740,READ,key45,171,0,false
1775546688740,READ,key30,171,0,false
1775546688794,READ,key78,169,0,false
1775546688848,READ,key70,168,0,false
1775546688849,READ,key40,167,0,false
1775546688880,READ,key84,168,0,false
1775546688883,READ,key6,169,0,false
1775546688903,READ,key1,167,0,false
1775546688911,READ,key80,170,0,false
1775546688912,READ,key49,169,0,false
1775546688963,READ,key99,168,0,false
1775546689016,READ,key67,168,0,false
1775546689017,READ,key67,167,0,false
1775546689048,READ,key55,168,0,false
1775546689052,READ,key3,167,0,false
1775546689070,READ,key48,167,0,false
1775546689082,READ,key52,168,0,false
1775546689081,READ,key60,170,1,false
1775546689132,READ,key36,168,0,false
1775546689185,READ,key93,168,0,false
1775546689185,READ,key61,168,0,false
1775546689217,READ,key34,167,0,false
1775546689219,READ,key75,169,0,false
1775546689237,READ,key11,168,0,false
1775546689250,READ,key90,169,0,false
1775546689251,READ,key28,168,0,false
1775546689300,READ,key29,169,0,false
1775546689354,READ,key11,167,0,false
1775546689354,READ,key7,167,0,false
1775546689385,READ,key85,169,0,false
1775546689388,READ,key32,170,0,false
1775546689405,READ,key80,169,0,false
1775546689420,READ,key36,169,0,false
1775546689419,READ,key79,170,0,false
1775546689470,READ,key45,170,0,false
1775546689522,READ,key77,168,0,false
1775546689522,READ,key66,168,0,false
1775546689554,READ,key27,168,0,false
1775546689558,READ,key69,169,0,false
1775546689575,READ,key9,167,0,false
1775546689590,READ,key56,167,0,false
1775546689590,READ,key25,168,0,false
1775546689640,READ,key7,167,0,false
1775546689691,READ,key50,185,0,false
1775546689691,READ,key2,185,0,false
1775546689722,READ,key82,177,0,false
1775546689727,READ,key69,172,0,false
1775546689743,READ,key18,167,0,false
1775546689759,READ,key84,171,0,false
1775546689758,READ,key89,173,0,false
1775546689807,READ,key59,169,0,false
1775546689879,READ,key39,167,0,false
1775546689880,READ,key99,166,0,false
1775546689900,READ,key32,169,0,false
1775546689900,READ,key13,169,0,false
1775546689910,READ,key64,169,0,false
1775546689931,READ,key84,169,0,false
1775546689931,READ,key64,169,0,false
1775546689977,READ,key68,167,0,false
1775546690046,READ,key14,169,0,false
1775546690046,READ,key11,169,0,false
1775546690069,READ,key45,166,0,false
1775546690069,READ,key65,166,0,false
1775546690079,READ,key81,168,0,false
1775546690101,READ,key86,169,0,false
1775546690101,READ,key94,169,0,false
1775546690144,READ,key5,169,0,false
1775546690215,READ,key14,170,0,false
1775546690216,READ,key38,169,0,false
1775546690236,READ,key39,168,0,false
1775546690236,READ,key42,168,0,false
1775546690247,READ,key50,169,0,false
1775546690271,READ,key88,169,0,false
1775546690270,READ,key19,171,0,false
1775546690313,READ,key59,168,0,false
1775546690385,READ,key21,168,0,false
1775546690385,READ,key20,168,0,false
1775546690404,READ,key81,166,0,false
1775546690404,READ,key51,166,0,false
1775546690416,READ,key56,166,0,false
1775546690440,READ,key53,168,0,false
1775546690442,READ,key83,166,0,false
1775546690481,READ,key29,167,0,false
1775546690554,READ,key68,167,0,false
1775546690554,READ,key31,167,0,false
1775546690571,READ,key74,166,0,false
1775546690570,READ,key6,168,0,false
1775546690583,READ,key68,167,0,false
1775546690608,READ,key70,168,0,false
1775546690608,READ,key92,168,0,false
1775546690648,READ,key41,167,0,false
1775546690722,READ,key32,166,0,false
1775546690721,READ,key70,167,0,false
1775546690738,READ,key4,166,0,false
1775546690740,READ,key27,167,0,false
1775546690751,READ,key40,166,0,false
1775546690776,READ,key34,166,0,false
1775546690778,READ,key0,167,0,false
1775546690815,READ,key68,168,0,false
1775546690889,READ,key70,168,0,false
1775546690889,READ,key60,168,1,false
1775546690904,READ,key61,166,0,false
1775546690908,READ,key71,166,0,false
1775546690917,READ,key48,167,0,false
1775546690942,READ,key95,170,0,false
1775546690946,READ,key14,170,0,false
1775546691057,READ,key57,170,0,false
1775546691058,READ,key19,169,0,false
1775546691070,READ,key6,168,0,false
